date,cvar_historical,mv_historical,cvar_mbb,mv_mbb,ew
2023-01-06,"[0.3499999999988014, 0.16382664799339924, 7.772586900970904e-14, 0.3499999999790561, 0.13617335202866535]","[0.2865134478161722, 0.34791034889360073, 1.5613311313174163e-07, 0.015583172291907392, 0.34999287486520664]","[0.34999999998659265, 0.1528744065636126, 5.915654905061012e-13, 0.3499999998968727, 0.1471255935523307]","[0.34999892345827527, 0.09649235959337031, 2.41979946265246e-07, 0.20622740883854548, 0.3472810661298627]",[0.2 0.2 0.2 0.2 0.2]
2023-01-13,"[0.34999999998889564, 0.010974902624389653, 2.6662792862531123e-12, 0.34999999992171077, 0.2890250974623378]","[0.28315589449670897, 0.11901897219879737, 1.9437352455194261e-07, 0.24782562690713536, 0.3499993120238338]","[0.34999999999917664, 0.19920489068781347, 1.1063276708765481e-13, 0.349999999997783, 0.1007951093151163]","[0.34999845424581155, 0.17417509166229628, 8.556363047504788e-07, 0.12583702056336105, 0.34998857789222654]",[0.2 0.2 0.2 0.2 0.2]
2023-01-20,"[0.3499999999954011, 0.16382664755587106, 5.474185598725066e-13, 0.34999999997132386, 0.13617335247685688]","[0.3169632792608048, 0.20514969129916444, 2.562956698116333e-07, 0.12788846079661464, 0.3499983123477493]","[0.349999999998334, 0.21185511664355622, 2.466398276146389e-13, 0.3053409236320924, 0.13280395972577072]","[0.34999887907653077, 0.29869117410361185, 1.6416991743617873e-07, 0.0013416541598258549, 0.349968128490114]",[0.2 0.2 0.2 0.2 0.2]
2023-01-27,"[0.34999999999432774, 0.16382664741362687, 3.848348047086704e-13, 0.34999999984719776, 0.13617335274446307]","[0.34999929633624444, 0.18186606614641312, 2.1433620008604688e-07, 0.11813543174524915, 0.3499989914358931]","[0.349999999992458, 0.19920489005151187, 1.462489455634896e-12, 0.3499999999530064, 0.10079511000156131]","[0.34323618373353026, 0.18633496115104958, 9.939079673019876e-08, 0.12043001595043412, 0.3499987397741892]",[0.2 0.2 0.2 0.2 0.2]
2023-02-03,"[0.34999999999274534, 0.19920489086140966, 2.9032986382949084e-12, 0.34999999905916157, 0.1007951100837803]","[0.3499999675321621, 0.2434885884282842, 1.0538748027567013e-08, 0.056511530218025935, 0.34999990328277975]","[0.34999999998333403, 0.19920489174231357, 3.881693765089432e-12, 0.34999998937717186, 0.10079511889329908]","[0.34975868099079216, 0.19728413960716554, 3.3724936888301127e-07, 0.10295802822183342, 0.3499988139308399]",[0.2 0.2 0.2 0.2 0.2]
2023-02-10,"[0.3499999999993644, 0.1638266478847004, 3.741514867960965e-14, 0.3499999999877041, 0.13617335212819376]","[0.34999933125496147, 0.1328458452456979, 5.584615353562476e-08, 0.16715515754335575, 0.3499996101098315]","[0.34999999998743625, 0.16382664767105448, 1.0346095165965186e-12, 0.349999999540438, 0.13617335280003715]","[0.34999943928243327, 0.24243059940774833, 4.8835717666536255e-08, 0.057570918090098955, 0.3499989943840019]",[0.2 0.2 0.2 0.2 0.2]
2023-02-17,"[0.3499999999998341, 0.1992048906292166, 4.2239407059750336e-14, 0.3499999999893392, 0.10079510938156783]","[0.3499999430479435, 0.11372424654865965, 1.921286570903206e-08, 0.18627608976523938, 0.3499997014252921]","[0.349999999950882, 0.19920489192771965, 6.174237697791974e-12, 0.34999999906647544, 0.10079510904874901]","[0.34999767596615694, 0.3499699551196962, 2.7294700936881437e-07, 0.019428065686224075, 0.28060403028091346]",[0.2 0.2 0.2 0.2 0.2]
2023-02-24,"[0.34999999999969417, 0.1992048906037054, 1.7938669731049695e-14, 0.3499999999991762, 0.10079510939740666]","[0.34999904837265544, 0.16579061088245256, 3.628646338039507e-08, 0.15661351334508314, 0.3275967911133456]","[0.34999999999892234, 0.17584499935066772, 1.6988923414362084e-13, 0.12415500065652184, 0.3499999999937183]","[0.3108116169520034, 0.3391057154940372, 4.548319124231242e-07, 8.412723527187337e-05, 0.3499980854867753]",[0.2 0.2 0.2 0.2 0.2]
2023-03-03,"[0.34999999999908266, 3.877197950633896e-11, 5.903698098903175e-14, 0.34999999999386583, 0.2999999999682206]","[0.30176704718973374, 0.044691727993151735, 1.1154805252904472e-08, 0.30354141877957663, 0.34999979488273264]","[0.3499999999852963, 0.16382664661843688, 1.1412929169903053e-12, 0.34999999921501507, 0.13617335418011062]","[0.3238833936004474, 0.24959904432123445, 3.632157544789258e-09, 0.07651768818413056, 0.3499998702620301]",[0.2 0.2 0.2 0.2 0.2]
2023-03-10,"[0.34999999994825987, 0.17584500678339418, 4.301969830002446e-12, 0.12415499375847296, 0.3499999995055713]","[0.34041015248712475, 0.19816895693214187, 4.8592600870214375e-08, 0.1114210737542193, 0.34999976823391327]","[0.3499999999996414, 0.16757784995597722, 5.002551915811711e-13, 0.1324221500445034, 0.3499999999993779]","[0.2697004435218173, 0.3387095237266198, 8.335892666292789e-07, 0.04158987153110333, 0.3499993276311931]",[0.2 0.2 0.2 0.2 0.2]
